,m1,m2,m3,m4,m5,m6
1524585500.00,51969.23,1.48,19.85,22.29,-74.70,0.00
1524586500.00,51968.10,0.42,19.85,22.27,-74.97,0.00
1524587500.00,51968.50,-0.56,19.90,22.35,-74.75,0.00
1524588500.00,51967.98,-1.55,20.02,22.34,-75.07,0.00
1524589500.00,51969.93,-2.41,20.08,22.38,-74.49,0.00
1524590500.00,51968.48,-3.45,20.21,22.38,-75.14,0.00
1524591500.00,51968.11,-4.08,20.40,22.24,-75.40,0.00
1524592500.00,51971.22,-4.93,20.52,22.41,-74.44,0.00
1524593500.00,51971.75,-6.15,20.58,22.45,-74.40,0.00
1524594500.00,51971.30,-7.14,20.65,22.47,-74.59,0.00
1524595500.00,51971.79,-8.08,20.83,22.50,-74.46,0.00
1524596500.00,51971.11,-9.14,20.99,22.51,-74.76,0.00
1524597500.00,51970.49,-9.90,21.12,22.44,-75.19,0.00
1524598500.00,51973.08,-10.83,21.26,22.64,-74.38,0.00
1524599500.00,51972.98,-11.47,21.36,22.69,-74.36,0.00
1524600500.00,51973.37,-11.97,21.47,22.70,-74.32,0.00
1524601500.00,51973.94,-12.33,21.64,22.74,-74.11,0.00
1524602500.00,51972.20,-13.09,21.77,22.77,-74.36,0.00
1524603500.00,51969.45,-14.39,21.94,22.76,-74.77,0.00
1524604500.00,51969.11,-14.92,22.05,22.73,-74.81,0.00
1524605500.00,51970.19,-15.54,22.05,22.87,-74.47,0.00
1524606500.00,51966.90,-16.15,22.23,22.80,-75.55,0.00
1524607500.00,51969.07,-16.26,22.39,22.93,-74.87,0.00
1524608500.00,51967.24,-16.59,22.53,22.80,-75.56,0.00
1524609500.00,51969.01,-17.29,22.56,23.04,-74.89,0.00
1524610500.00,51968.48,-17.00,22.73,23.00,-75.05,0.00
1524611500.00,51967.60,-17.17,22.81,23.00,-75.43,0.00
1524612500.00,51967.59,-16.83,22.86,23.03,-75.39,0.00
1524613500.00,51968.73,-16.80,22.93,23.17,-75.14,0.00
1524614500.00,51968.30,-16.52,23.09,23.20,-75.35,0.00
1524615500.00,51968.74,-16.17,23.12,23.21,-75.23,0.00
1524616500.00,51968.26,-15.52,23.22,23.29,-75.50,0.00
1524617500.00,51967.16,-14.44,23.31,23.20,-75.92,0.00
1524618500.00,51971.45,-13.59,23.26,23.51,-74.53,0.00
1524619500.00,51966.87,-12.96,23.30,23.51,-75.29,0.00
1524620500.00,51962.29,-12.08,23.40,23.42,-76.39,0.00
1524621500.00,51963.00,-10.73,23.45,23.53,-76.02,0.00
1524622500.00,51964.66,-9.44,23.51,23.67,-75.49,0.00
1524623500.00,51963.83,-8.09,23.55,23.61,-75.88,0.00
1524624500.00,51963.54,-6.79,23.65,23.63,-75.84,0.00
1524625500.00,51961.59,-4.87,23.74,23.65,-76.45,0.00
1524626500.00,51963.04,-3.44,23.74,23.70,-75.94,0.00
1524627500.00,51962.46,-1.86,23.79,23.71,-76.03,0.00
1524628500.00,51962.14,-0.53,23.81,23.82,-76.04,0.00
1524629500.00,51963.05,1.08,23.84,23.89,-75.64,0.00
1524630500.00,51960.93,2.28,23.92,23.87,-76.25,0.00
1524631500.00,51960.85,3.44,23.90,23.88,-76.13,0.00
1524632500.00,51957.73,4.74,24.03,23.74,-77.10,0.00
1524633500.00,51959.07,5.62,23.98,23.96,-76.55,0.00
1524634500.00,51960.58,7.06,24.02,24.07,-75.94,0.00
1524635500.00,51959.44,8.10,24.07,24.02,-76.23,0.00
1524636500.00,51959.29,8.88,24.02,24.03,-76.14,0.00
1524637500.00,51957.57,11.05,23.95,24.02,-76.42,0.00
1524638500.00,51958.30,12.75,23.97,24.16,-76.11,0.00
1524639500.00,51956.65,13.84,23.96,24.06,-76.55,0.00
