,m1,m2,m3,m4,m5,m6
1530221500.00,52132.07,2.30,54.72,36.72,-95.13,0.00
1530222500.00,52130.82,2.07,54.76,36.72,-95.54,0.00
1530223500.00,52131.02,1.64,54.75,36.72,-95.48,0.00
1530224500.00,52131.78,1.53,54.79,36.78,-95.25,0.00
1530225500.00,52131.26,1.51,54.84,36.73,-95.50,0.00
1530226500.00,52131.44,0.95,54.80,36.81,-95.42,0.00
1530227500.00,52131.18,1.00,54.74,36.78,-95.48,0.00
1530228500.00,52130.89,1.19,54.76,36.84,-95.56,0.00
1530229500.00,52130.56,1.49,54.79,36.88,-95.65,0.00
1530230500.00,52132.25,1.92,54.80,37.01,-95.08,0.00
1530231500.00,52133.23,2.14,54.78,37.05,-94.72,0.00
1530232500.00,52133.77,3.05,54.83,37.12,-94.53,0.00
1530233500.00,52133.11,3.47,54.76,37.07,-94.58,0.00
1530234500.00,52132.20,4.10,54.77,37.09,-94.86,0.00
1530235500.00,52132.68,4.69,54.71,37.19,-94.64,0.00
1530236500.00,52132.97,5.68,54.73,37.25,-94.49,0.00
1530237500.00,52131.93,6.41,54.66,37.22,-94.77,0.00
1530238500.00,52131.24,7.58,54.71,37.27,-94.91,0.00
1530239500.00,52131.22,8.37,54.71,37.34,-94.88,0.00
1530240500.00,52131.67,9.37,54.75,37.40,-94.63,0.00
1530241500.00,52131.06,10.29,54.73,37.41,-94.80,0.00
1530242500.00,52131.40,11.12,54.63,37.46,-94.53,0.00
1530243500.00,52131.68,12.17,54.63,37.52,-94.33,0.00
1530244500.00,52130.81,12.90,54.63,37.54,-94.57,0.00
1530245500.00,52129.54,13.65,54.64,37.54,-95.05,0.00
1530246500.00,52130.39,14.22,54.61,37.65,-94.62,0.00
1530247500.00,52129.40,14.99,54.63,37.53,-94.92,0.00
1530248500.00,52130.12,15.59,54.71,37.69,-94.67,0.00
1530249500.00,52129.59,16.38,54.72,37.64,-94.88,0.00
1530250500.00,52131.11,16.89,54.66,37.77,-94.26,0.00
1530251500.00,52129.62,17.65,54.72,37.74,-94.77,0.00
1530252500.00,52129.89,18.51,54.65,37.75,-94.62,0.00
1530253500.00,52129.71,19.02,54.65,37.78,-94.61,0.00
1530254500.00,52129.16,20.06,54.67,37.79,-94.70,0.00
1530255500.00,52130.24,21.11,54.71,37.86,-94.25,0.00
1530256500.00,52129.51,21.72,54.65,37.86,-94.48,0.00
1530257500.00,52128.45,22.54,54.70,37.76,-94.88,0.00
1530258500.00,52129.53,23.16,54.72,37.82,-94.44,0.00
