,m1,m2,m3,m4,m5,m6
1525764500.00,51976.45,38.71,42.66,25.39,-81.70,0.00
1525765500.00,51976.15,39.48,42.73,25.40,-81.58,0.00
1525766500.00,51974.70,40.14,42.69,25.34,-81.89,0.00
1525767500.00,51975.76,41.21,42.68,25.40,-81.31,0.00
1525768500.00,51975.24,41.89,42.79,25.41,-81.26,0.00
1525769500.00,51971.85,42.43,42.79,25.22,-82.22,0.00
1525770500.00,51973.12,42.94,42.81,25.40,-81.57,0.00
1525771500.00,51972.52,43.64,42.75,25.38,-81.62,0.00
1525772500.00,51971.25,43.94,42.69,25.30,-81.99,0.00
1525773500.00,51971.69,44.72,42.67,25.38,-81.66,0.00
1525774500.00,51971.71,44.98,42.58,25.42,-81.47,0.00
1525775500.00,51969.56,45.71,42.65,25.32,-82.11,0.00
1525776500.00,51970.66,45.92,42.64,25.42,-81.51,0.00
1525777500.00,51969.11,46.45,42.63,25.35,-81.91,0.00
1525778500.00,51969.23,47.00,42.71,25.36,-81.84,0.00
1525779500.00,51968.35,47.41,42.75,25.29,-82.05,0.00
1525780500.00,51968.19,47.49,42.71,25.32,-81.93,0.00
1525781500.00,51969.16,47.18,42.68,25.34,-81.56,0.00
1525782500.00,51969.88,46.47,42.57,25.41,-81.21,0.00
1525783500.00,51968.76,46.10,42.60,25.23,-81.75,0.00
1525784500.00,51967.73,45.15,42.66,25.17,-81.86,0.00
1525785500.00,51970.72,43.88,42.68,25.18,-81.46,0.00
