,m1,m2,m3,m4,m5,m6
1525204500.00,52034.84,-26.51,34.06,21.53,-80.19,0.00
1525205500.00,52034.65,-27.01,34.11,21.46,-80.31,0.00
1525206500.00,52034.82,-27.51,34.18,21.50,-80.22,0.00
1525207500.00,52034.71,-27.75,34.37,21.60,-80.31,0.00
1525208500.00,52035.09,-27.97,34.40,21.66,-80.22,0.00
1525209500.00,52032.56,-28.92,34.46,21.70,-80.58,0.00
1525210500.00,52029.05,-28.54,34.54,21.61,-81.16,0.00
1525211500.00,52029.96,-28.41,34.58,21.71,-80.89,0.00
1525212500.00,52030.12,-28.06,34.61,21.73,-80.79,0.00
1525213500.00,52031.02,-27.73,34.69,21.75,-80.43,0.00
1525214500.00,52030.43,-27.65,34.81,21.81,-80.63,0.00
1525215500.00,52028.86,-27.44,34.94,21.83,-81.13,0.00
1525216500.00,52029.91,-26.58,34.98,21.86,-80.72,0.00
1525217500.00,52029.86,-26.47,35.03,22.04,-80.47,0.00
1525218500.00,52029.42,-26.10,35.06,22.06,-80.69,0.00
1525219500.00,52028.30,-25.49,35.12,22.10,-80.98,0.00
1525220500.00,52028.55,-24.88,35.27,22.10,-80.83,0.00
1525221500.00,52029.41,-24.23,35.22,22.26,-80.44,0.00
1525222500.00,52027.71,-23.19,35.25,22.16,-80.86,0.00
1525223500.00,52026.62,-22.15,35.33,22.21,-81.22,0.00
1525224500.00,52027.71,-21.26,35.32,22.33,-80.66,0.00
1525225500.00,52027.08,-20.30,35.38,22.33,-80.73,0.00
1525226500.00,52022.84,-19.30,35.42,22.37,-81.24,0.00
1525227500.00,52022.82,-18.55,35.44,22.50,-81.09,0.00
1525228500.00,52021.37,-17.52,35.42,22.44,-81.47,0.00
1525229500.00,52020.47,-16.58,35.56,22.49,-81.74,0.00
1525230500.00,52020.70,-15.63,35.49,22.64,-81.54,0.00
1525231500.00,52019.65,-14.28,35.59,22.58,-81.77,0.00
1525232500.00,52019.36,-13.77,35.56,22.68,-81.76,0.00
1525233500.00,52018.38,-12.71,35.61,22.66,-81.97,0.00
1525234500.00,52017.29,-11.70,35.69,22.65,-82.11,0.00
1525235500.00,52017.77,-11.19,35.68,22.71,-81.79,0.00
1525236500.00,52017.29,-10.55,35.71,22.76,-81.86,0.00
1525237500.00,52016.70,-9.84,35.73,22.81,-81.89,0.00
1525238500.00,52015.21,-8.80,35.81,22.80,-82.25,0.00
1525239500.00,52015.97,-8.22,35.79,22.92,-81.82,0.00
1525240500.00,52017.00,-7.29,35.87,23.02,-81.36,0.00
1525241500.00,52014.87,-6.53,35.93,22.91,-82.02,0.00
1525242500.00,52015.24,-5.71,36.03,23.01,-81.77,0.00
1525243500.00,52013.25,-5.00,36.04,22.93,-82.45,0.00
1525244500.00,52012.26,-4.37,36.16,22.91,-82.58,0.00
1525245500.00,52012.94,-3.67,36.16,22.98,-82.20,0.00
1525246500.00,52014.30,-2.93,36.20,23.06,-81.67,0.00
1525247500.00,52012.39,-2.04,36.36,23.03,-82.14,0.00
